candidate_id,procedure_id,person_name,candidate_status,affiliation,source_document_id,source_url,confidence_level,notes
ACU-PILOT-0001-CA-01,ACU-PILOT-0001,not_determinable,not_determinable,,ACU-PILOT-0001-DOC-01,https://bandi.unibo.it/s/apos5/rif-3282-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-dipartimento-dimevet-gsd-06-meds-26-bo/esiti/approvazione-atti/%40%40download/file/Approvazione%20atti.pdf,low,Official acts_approval URL is registered but returned a site error during this extraction pass so candidate identities and statuses were not visible.
ACU-PILOT-0002-CA-01,ACU-PILOT-0002,not_determinable,not_determinable,,ACU-PILOT-0002-DOC-01,https://bandi.unibo.it/s/apos5/rif-853-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-ficlit-gsd-10-glot-01-ssd-glot-01-a-bo/esiti/approvazione-atti/%40%40download/file/Approvazione%20atti.pdf,low,Official acts_approval document is registered and reachable but extracted text was not sufficiently legible for reliable candidate identity/status extraction in this pass.
ACU-PILOT-0006-CA-01,ACU-PILOT-0006,Pierangela Bruno,winner,,ACU-PILOT-0006-DOC-01,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30084_874_1.html,high,Winner explicitly declared in Art. 2 of the official acts approval decree.
ACU-PILOT-0007-CA-01,ACU-PILOT-0007,Simone Cito,admitted,,ACU-PILOT-0007-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0007-CA-02,ACU-PILOT-0007,Irene De Blasi,admitted,,ACU-PILOT-0007-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0007-CA-03,ACU-PILOT-0007,Nicolò Forcillo,admitted,,ACU-PILOT-0007-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0007-CA-04,ACU-PILOT-0007,Alberto Maione,admitted,,ACU-PILOT-0007-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0007-CA-05,ACU-PILOT-0007,Nikolay Pogodaev,admitted,,ACU-PILOT-0007-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0007-CA-06,ACU-PILOT-0007,Domenico Vuono,admitted,,ACU-PILOT-0007-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0007-CA-07,ACU-PILOT-0007,Domenico Vuono,winner,,ACU-PILOT-0007-DOC-06,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Winner explicitly declared in Art. 2 of the official acts approval decree.
