procedure_id,university,department,procedure_code,position_type,number_of_positions,academic_field,ssd,gsd_settore_concorsuale,call_publication_date,deadline_date,committee_appointment_date,criteria_publication_date,outcome_publication_date,status,source_url,documentary_completeness_status,notes
ACU-PILOT-0001,Università di Bologna,Dipartimento di Scienze mediche veterinarie (DIMEVET),Rif. 3282,ricercatore_tenure_track,1,Scienze tecniche di medicina di laboratorio e professioni sanitarie tecniche,,06/MEDS-26,2025-05-29,2025-07-01,,,,acts_approved,https://bandi.unibo.it/s/apos5/rif-3282-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-dipartimento-dimevet-gsd-06-meds-26-bo,partial,Procedura verificata da pagina ufficiale UNIBO Rif. 3282; date di pubblicazione dei singoli allegati non esplicitate nella pagina. Link Approvazione Atti restituisce 404 alla data di retrieval 2026-04-26.
ACU-PILOT-0002,Università di Bologna,Dipartimento di Filologia classica e Italianistica,Rif. 853,RTT,1,Glottologia e linguistica,GLOT-01/A Glottologia e linguistica,10/GLOT-01 Glottologia e linguistica,2025-02-14,2025-03-14,,,,concluded,https://bandi.unibo.it/s/apos5/rif-853-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-ficlit-gsd-10-glot-01-ssd-glot-01-a-bo,partial,"Sede di servizio: Bologna. Regime di impegno: Tempo pieno. Gazzetta ufficiale: 4ª Serie Speciale - Concorsi ed Esami, n. 13 del 14/02/2025. Deadline mostrata in pagina con orario 12:00; campo registrato nel formato data del repository."
ACU-PILOT-0006,Università della Calabria,DEMACS / Dipartimento di Matematica e Informatica,R10_2025,RTT,1,INFO-01/A,INFO-01/A,INFO-01/A,2025-07-25,2025-08-09,,,,concluded,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30084_874_1.html,partial,DR n. 934 del 24/07/2025 riportato come riferimento procedurale. Scadenza indicata come 2025-08-09 23:59; registrata nel formato data del repository. Dati inseriti in base alle informazioni fornite per la pagina ufficiale ACU-PILOT-0006.
ACU-PILOT-0007,Università della Calabria,DEMACS / Dipartimento di Matematica e Informatica,R14_2025,RTT,1,MATH-03/A,MATH-03/A,01/MATH-03,2025-08-08,2025-08-23,,,,concluded,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,partial,DR n. 1008 del 05/08/2025. Scadenza riportata come 2025-08-23 23:59; registrata nel formato data del repository. Codifica effettuata sulla base delle informazioni fornite per la pagina ufficiale R14_2025.
ACU-PILOT-0009,Università della Calabria,DEMACS / Dipartimento di Matematica e Informatica,R15_2025,RTT,1,PHYS-06/B,PHYS-06/B,02/PHYS-06,2025-08-08,2025-08-23,,,,concluded,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,partial,DR n. 1008 del 05/08/2025. Scadenza riportata come 2025-08-23 23:59; registrata nel formato data del repository. Codifica effettuata sulla base delle informazioni fornite per la pagina ufficiale R15_2025.
ACU-PILOT-0010,Università della Calabria,DIAm / Dipartimento di Ingegneria dell’Ambiente,R12_2025,RTT,1,CEAR-01/B,CEAR-01/B,08/CEAR-01,2025-08-08,2025-08-23,,,,concluded,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,partial,DR n. 1008 del 05/08/2025. Scadenza riportata come 2025-08-23 23:59; registrata nel formato data del repository. Codifica effettuata sulla base delle informazioni fornite per la pagina ufficiale R12_2025.
ACU-PILOT-0008,Università della Calabria,"DIBEST / Dipartimento di Biologia, Ecologia e Scienze della Terra",PO_5_2025,PO / professore di prima fascia,1,BIOS-07/A Biochimica,BIOS-07/A Biochimica,,2025-05-13,2025-05-28,,,,concluded,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_28522_874_1.html,partial,"Base legale: art. 18, comma 1, L. 240/2010. DR n. 561 del 12/05/2025. G.U. - IV serie speciale - n. 37 del 13/05/2025. Scadenza riportata come 2025-05-28 23:59; registrata nel formato data del repository."
ACU-PILOT-0003,Università di Bologna,DIMEC - Dipartimento di Scienze Mediche e Chirurgiche,Rif. A18C1III2024/1948/R23 (Rif. 1948),PA / professore di seconda fascia,1,06/MEDS-17 - Malattie dell’apparato visivo,MEDS-17/A - Malattie dell’apparato visivo,06/MEDS-17 - Malattie dell’apparato visivo,2025-02-25,2025-03-27,,,,concluded,https://bandi.unibo.it/s/apos4/d-r-n-155-del-4-febbraio-2025-bando-per-la-copertura-di-n-posti-di-professore-di-ii-fascia-ai-sensi-dell-art-18-comma-1-della-legge-240-2010,partial,"Sede di servizio: Ravenna. Base legale: art. 18, comma 1, L. 240/2010. D.R. n. 155 del 04/02/2025. Gazzetta Ufficiale - Serie concorsi n. 16 del 25/02/2025. In pagina principale sono visibili alcuni allegati senza data di pubblicazione esplicita."
ACU-PILOT-0004,Università di Bologna,DIN - Dipartimento di Ingegneria Industriale,Rif. A18C1I2025/1964/R23 / Rif. 1964,PA / professore di seconda fascia,1,"09/IIND-03 - Progettazione industriale, costruzioni meccaniche e metallurgia",IIND-03/A - Progettazione meccanica e costruzione di macchine,"09/IIND-03 - Progettazione industriale, costruzioni meccaniche e metallurgia",2025-05-27,2025-06-26,,,,concluded,https://bandi.unibo.it/s/apos4/d-r-n-700-del-7-maggio-2025-bando-per-la-copertura-di-n-posti-di-professore-di-ii-fascia-ai-sensi-dell-art-18-comma-1-della-legge-240-2010,partial,"Sede di servizio: Bologna. Base legale: art. 18, comma 1, L. 240/2010. D.R. n. 700 del 07/05/2025. Gazzetta Ufficiale - Serie concorsi n. 41 del 27/05/2025."
ACU-PILOT-0005,Università di Bologna,DISI - Dipartimento di Informatica - Scienza e Ingegneria,Rif. O18C1I2025/1967/R23 / Rif. 1967,PO / professore di prima fascia,1,01/INFO-01 - Informatica,INFO-01/A - Informatica,01/INFO-01 - Informatica,2025-06-24,2025-07-24,,,,concluded,https://bandi.unibo.it/s/apos4/d-r-n-858-del-6-giugno-2025-bando-per-la-copertura-di-n-posti-di-professore-di-i-fascia-ai-sensi-dell-art-18-comma-1-della-legge-240-2010,partial,"Sede di servizio: Bologna. Base legale: art. 18, comma 1, L. 240/2010. D.R. n. 858 del 06/06/2025. Gazzetta Ufficiale - Serie concorsi n. 49 del 24/06/2025. La pagina ufficiale riporta che gli atti della procedura sono stati approvati con D.R. 1696 del 24/10/2025."
