universe_source,university_name,university_type,official_homepage_url,recruitment_page_url,confidence_level,verification_status,notes
MUR - Università non statali legalmente riconosciute / telematiche / scuole speciali,Università LUMSA,private,https://www.lumsa.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università non statali legalmente riconosciute / telematiche / scuole speciali,Libera Università Maria Santissima Assunta (LUMSA),private,https://www.lumsa.it/,,medium,needs_human_review,Potential naming overlap with Università LUMSA; canonical denomination to confirm in MUR list.
MUR - Università non statali legalmente riconosciute / telematiche / scuole speciali,Università degli Studi Link,private,https://www.unilink.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università non statali legalmente riconosciute / telematiche / scuole speciali,Università di Enna Kore,private,https://www.unikore.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università non statali legalmente riconosciute / telematiche / scuole speciali,Università degli Studi Suor Orsola Benincasa,private,https://www.unisob.na.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università non statali legalmente riconosciute / telematiche / scuole speciali,Università LUM Giuseppe Degennaro,private,https://www.lum.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università telematiche,Università Telematica eCampus,private,https://www.uniecampus.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università telematiche,Università degli Studi di Roma UnitelmaSapienza,private,https://www.unitelmasapienza.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università telematiche,Università Telematica San Raffaele Roma,private,https://www.uniroma5.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università telematiche,Università Telematica Leonardo da Vinci,private,https://www.unidav.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università non statali legalmente riconosciute,Humanitas University,private,https://www.hunimed.eu/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Scuole superiori a ordinamento speciale,Scuola Internazionale Superiore di Studi Avanzati (SISSA),public,https://www.sissa.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Scuole superiori a ordinamento speciale,Istituto Universitario di Studi Superiori di Pavia (IUSS),public,https://www.iusspavia.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Scuole superiori a ordinamento speciale,Gran Sasso Science Institute,public,https://www.gssi.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Scuole superiori a ordinamento speciale,Scuola Superiore Meridionale,public,https://www.ssmeridionale.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università non statali legalmente riconosciute,Università della Valle d'Aosta - Université de la Vallée d'Aoste,public,https://www.univda.it/,,low,needs_human_review,Possibly already mapped in main CSV under alternate name; deduplication against canonical MUR label required.
MUR - Università non statali legalmente riconosciute,Università Carlo Cattaneo - LIUC,private,https://www.liuc.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università non statali legalmente riconosciute,Università Europea di Roma,private,https://www.universitaeuropeadiroma.it/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
MUR - Università non statali legalmente riconosciute,Università degli Studi Internazionali di Roma (UNINT),private,https://www.unint.eu/,,high,homepage_only,Official homepage identified; recruitment endpoint to verify manually.
