university_id,source_url,discovery_depth,parent_url,link_url,link_text,link_type_hint,same_domain,keyword_match,confidence_level,requires_human_attention,blocking_status,notes,observed_at_utc
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/albo.html#content,Salta al contenuto principale,unknown,yes,yes,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/solo-testo.jsp?solotesto=false,Passa alla visualizzazione normale.,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/faq,,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/ateneo/pagamenti.html,,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it,,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/albo.html#,Ateneo,unknown,yes,yes,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/ateneo/presentazione/,Presentazione,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/ateneo/strutture/,Strutture,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/strutture/poli-decentrati/,Poli Territoriali,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/ateneo/OrganiDiGovernoECollegiali/,Organi di governo e collegiali,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/servizi/resocontisedutesaecda/,Il Rettorato informa,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/ateneo/amministrazione/,Amministrazione,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/ateneo/assicurazione-della-qualita-aq/,Assicurazione della Qualità - AQ,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,0,https://www.unipa.it/albo.html,https://www.unipa.it/servizi/prevenzionedellacorruzione/regolamenti-di-ateneo/,Regolamenti,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
