university_id,source_url,discovery_depth,parent_url,link_url,link_text,link_type_hint,same_domain,keyword_match,confidence_level,requires_human_attention,blocking_status,notes,observed_at_utc
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/#content,Vai al contenuto principale della pagina,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/#12046,Vai al menu principale del sito,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjUyOTYiLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D,Vai alla funzione di ricerca del sito,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6NTI5NiwidG9nZ2xlIjpmYWxzZX0%3D,,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/#elementor-action%3Aaction%3Dpopup%3Aclose%26settings%3DeyJkb19ub3Rfc2hvd19hZ2FpbiI6InllcyJ9,,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it,,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/futuri-studenti/,Future/i studenti,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/studenti/,Studenti,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/studenti-internazionali/,Studenti Internazionali,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://alumni.unipi.it/,Alumni,unknown,no,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://start.unipi.it/,Personale,unknown,no,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/enti-e-imprese/,Enti e Imprese,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/,Didattica,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
