university_id,university_name,intake_pack_exists,inventory_exists,homepage_url,recruitment_url,fetch_status,candidate_links_count,requires_human_attention,blocking_status,last_updated_utc
it-unibo,Università di Bologna,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unina,Università degli Studi di Napoli Federico II,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unipd,Università degli Studi di Padova,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unipa,Università degli Studi di Palermo,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unipi,Università di Pisa,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unimi,Università degli Studi di Milano,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unito,Università degli Studi di Torino,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unirc,Università degli Studi Mediterranea di Reggio Calabria,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unibocconi,Università Commerciale Luigi Bocconi,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-luiss,LUISS Guido Carli,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unifi,Università degli Studi di Firenze,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unisi,Università degli Studi di Siena,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uniroma1,Sapienza Università di Roma,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uniroma2,Università degli Studi di Roma Tor Vergata,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uniroma3,Università degli Studi Roma Tre,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unige,Università degli Studi di Genova,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unica,Università degli Studi di Cagliari,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unict,Università degli Studi di Catania,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unive,Università Ca' Foscari Venezia,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uninsubria,Università degli Studi dell'Insubria,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unibg,Università degli Studi di Bergamo,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unibs,Università degli Studi di Brescia,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unipr,Università di Parma,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unibozen,Libera Università di Bolzano,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unimore,Università degli Studi di Modena e Reggio Emilia,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uniss,Università degli Studi di Sassari,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-univaq,Università degli Studi dell'Aquila,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unimib,Università degli Studi di Milano-Bicocca,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-polimi,Politecnico di Milano,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-polito,Politecnico di Torino,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-sns,Scuola Normale Superiore,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uniba,Università degli Studi di Bari Aldo Moro,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unibas,Università degli Studi della Basilicata,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unical,Università della Calabria,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unicam,Università degli Studi di Camerino,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unicas,Università degli Studi di Cassino e del Lazio Meridionale,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unich,Università degli Studi G. d'Annunzio Chieti-Pescara,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unicz,Università Magna Graecia di Catanzaro,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unife,Università degli Studi di Ferrara,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unifg,Università di Foggia,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
