classification_id,university_id,source_url,link_url,link_text,link_type_hint,classified_type,classification_confidence,requires_human_attention,blocking_status,classification_reason,observed_at_utc,classified_at_utc
it-unibo-cls-00001,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi?#content,vai al contenuto della pagina,competition_listing,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00002,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi?#u-mainmenu,vai al menu di navigazione,competition_listing,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00003,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi/lavora-con-noi/@@multilingual-selector/84ee5112addb44a497eab83024818154/it,it,competition_listing,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00004,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi/lavora-con-noi/@@multilingual-selector/84ee5112addb44a497eab83024818154/en,en,competition_listing,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00005,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://almaesami.unibo.it/almaesami/studenti/home.htm,AlmaEsami,unknown,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00006,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://almarm.unibo.it/almarm/welcomeStudenti.htm,AlmaRM - Mobilità internazionale,unknown,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00007,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://studenti.unibo.it,Autocertificazioni e certificati,unknown,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00008,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://centri.unibo.it/cla/it/corsi,Corsi di lingua,unknown,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00009,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://eol.unibo.it,EOL - Esami online,unknown,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00010,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://jobplacement.unibo.it/it/studenti-e-laureati/offerte-di-lavoro,Offerte di lavoro,unknown,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
it-unibo-cls-00011,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://sba.unibo.it/it,Servizi bibliotecari,unknown,unknown,not_determinable,yes,non_blocking,No deterministic rule matched available metadata.,2026-05-18T14:08:59Z,2026-08-30T19:54:17Z
