confirmation_id,university_id,source_url,link_url,link_text,triage_status,confirmation_status,confirmation_confidence,strong_signals,weak_signals,negative_signals,http_status,content_type,requires_human_attention,reason,checked_at_utc
it-unibo-confirm-00001,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi?#content,vai al contenuto della pagina,possible_competition_source,confirmed,high,\bbando\b;\bconcors[oi]\b;reclutamento;professor[ei];ricercator[ei];assegn[oi] di ricerca;personale tecnico amministrativo,albo;avvis[oi];selezion[ei];lavor[ao] con noi;posizion[ei];job;opportunit[àa],privacy;cookie;accessibilit[àa];contatti;facebook;instagram;linkedin;youtube,200,text/html;charset=utf-8,no,Strong competition/procedure evidence found on fetched page.,2026-08-29T21:57:30Z
it-unibo-confirm-00002,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi?#u-mainmenu,vai al menu di navigazione,possible_competition_source,confirmed,high,\bbando\b;\bconcors[oi]\b;reclutamento;professor[ei];ricercator[ei];assegn[oi] di ricerca;personale tecnico amministrativo,albo;avvis[oi];selezion[ei];lavor[ao] con noi;posizion[ei];job;opportunit[àa],privacy;cookie;accessibilit[àa];contatti;facebook;instagram;linkedin;youtube,200,text/html;charset=utf-8,no,Strong competition/procedure evidence found on fetched page.,2026-08-29T21:57:30Z
it-unibo-confirm-00003,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi/lavora-con-noi/@@multilingual-selector/84ee5112addb44a497eab83024818154/it,it,possible_competition_source,confirmed,high,\bbando\b;\bconcors[oi]\b;reclutamento;professor[ei];ricercator[ei];assegn[oi] di ricerca;personale tecnico amministrativo,albo;avvis[oi];selezion[ei];lavor[ao] con noi;posizion[ei];job;opportunit[àa],privacy;cookie;accessibilit[àa];contatti;facebook;instagram;linkedin;youtube,200,text/html;charset=utf-8,no,Strong competition/procedure evidence found on fetched page.,2026-08-29T21:57:30Z
it-unibo-confirm-00004,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi/lavora-con-noi/@@multilingual-selector/84ee5112addb44a497eab83024818154/en,en,possible_competition_source,review,medium,,career;job;call,privacy;cookie;facebook;instagram;linkedin;youtube,200,text/html;charset=utf-8,yes,Partial signals found; not enough for confirmation.,2026-08-29T21:57:30Z
it-unibo-confirm-00005,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://jobplacement.unibo.it/it/studenti-e-laureati/offerte-di-lavoro,Offerte di lavoro,possible_competition_source,review,low,,job,privacy;cookie;contatti;facebook;linkedin,200,text/html;charset=utf-8,yes,No sufficient competition/procedure evidence found.,2026-08-29T21:57:30Z
it-unibo-confirm-00006,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/servizi-e-opportunita/servizi-online/guida-servizi-online-studenti/ams-tesi-online,Tesi Online - Archivio,possible_competition_source,confirmed,medium,\bconcors[oi]\b,albo;avvis[oi];lavor[ao] con noi;job,privacy;cookie;accessibilit[àa];contatti;facebook;instagram;linkedin;youtube,200,text/html;charset=utf-8,no,Strong competition/procedure evidence found on fetched page.,2026-08-29T21:57:30Z
it-unibo-confirm-00007,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/concilium,Concilium,unknown_requires_review,review,medium,\bconcors[oi]\b,albo;avvis[oi];lavor[ao] con noi;job,privacy;cookie;accessibilit[àa];contatti;facebook;instagram;linkedin;youtube,200,text/html;charset=utf-8,yes,Partial signals found; not enough for confirmation.,2026-08-29T21:57:30Z
it-unibo-confirm-00008,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/organizzazione-e-sedi/servizi-di-ateneo/servizi-online/la-mia-e-mail,Guida e informazioni,unknown_requires_review,confirmed,high,\bconcors[oi]\b;ricercator[ei],albo;avvis[oi];lavor[ao] con noi;posizion[ei];job,privacy;cookie;accessibilit[àa];contatti;facebook;instagram;linkedin;youtube,200,text/html;charset=utf-8,no,Strong competition/procedure evidence found on fetched page.,2026-08-29T21:57:30Z
it-unibo-confirm-00009,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it,,unknown_requires_review,review,medium,\bconcors[oi]\b,albo;avvis[oi];lavor[ao] con noi;job,privacy;cookie;accessibilit[àa];contatti;facebook;instagram;linkedin;youtube,200,text/html;charset=utf-8,yes,Partial signals found; not enough for confirmation.,2026-08-29T21:57:30Z
it-unibo-confirm-00010,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo,Ateneo,unknown_requires_review,review,medium,\bconcors[oi]\b,albo;avvis[oi];lavor[ao] con noi;posizion[ei];job;opportunit[àa],privacy;cookie;accessibilit[àa];contatti;facebook;instagram;linkedin;youtube,200,text/html;charset=utf-8,yes,Partial signals found; not enough for confirmation.,2026-08-29T21:57:30Z
