triage_id,university_id,source_url,link_url,link_text,classified_type,triage_status,triage_confidence,keep_for_review,exclude_from_competition_queue,exclusion_reason,positive_signals,negative_signals,requires_human_attention,observed_at_utc,triaged_at_utc
it-unibo-triage-00001,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi?#content,vai al contenuto della pagina,unknown,possible_competition_source,medium,yes,no,,lavora con noi;lavora-con-noi,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00002,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi?#u-mainmenu,vai al menu di navigazione,unknown,possible_competition_source,medium,yes,no,,lavora con noi;lavora-con-noi,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00003,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi/lavora-con-noi/@@multilingual-selector/84ee5112addb44a497eab83024818154/it,it,unknown,possible_competition_source,medium,yes,no,,lavora con noi;lavora-con-noi,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00004,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/lavora-con-noi/lavora-con-noi/@@multilingual-selector/84ee5112addb44a497eab83024818154/en,en,unknown,possible_competition_source,medium,yes,no,,lavora con noi;lavora-con-noi,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00005,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://almaesami.unibo.it/almaesami/studenti/home.htm,AlmaEsami,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain;studenti,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00006,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://almarm.unibo.it/almarm/welcomeStudenti.htm,AlmaRM - Mobilità internazionale,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain;studenti,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00007,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://studenti.unibo.it,Autocertificazioni e certificati,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain;studenti,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00008,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://centri.unibo.it/cla/it/corsi,Corsi di lingua,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00009,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://eol.unibo.it,EOL - Esami online,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00010,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://jobplacement.unibo.it/it/studenti-e-laureati/offerte-di-lavoro,Offerte di lavoro,unknown,possible_competition_source,medium,yes,no,,job,external_domain;studenti,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00011,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://sba.unibo.it/it,Servizi bibliotecari,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,biblioteca;external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00012,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/speis,SPEIS - Prenotazione spazi studenti,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,studenti,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00013,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://sportelli.unibo.it,Sportelli Virtuali - Uffici online,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00014,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://tirocini.unibo.it/tirocini/,Tirocini Online - Elenco offerte,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00015,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/servizi-e-opportunita/servizi-online/guida-servizi-online-studenti/ams-tesi-online,Tesi Online - Archivio,unknown,possible_competition_source,medium,yes,no,,opportunita,studenti,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
