university_id,university_name,official_homepage_url,recruitment_page_url,requires_human_attention,blocking_status,review_reason
it-unibo,Università di Bologna,https://www.unibo.it/,https://www.unibo.it/it/ateneo/lavora-con-noi,false,not_blocking,none
it-unina,Università degli Studi di Napoli Federico II,https://www.unina.it/,https://www.unina.it/ateneo/concorsi/concorsi-personale-docente-e-ricercatore,false,not_blocking,none
it-unipd,Università degli Studi di Padova,https://www.unipd.it/,https://www.unipd.it/concorsi-selezioni-personale-docente,false,not_blocking,none
it-unipa,Università degli Studi di Palermo,https://www.unipa.it/,https://www.unipa.it/albo.html,false,not_blocking,none
it-unipi,Università di Pisa,https://www.unipi.it/,,true,non_blocking,recruitment/concorsi URL missing or uncertain
it-unimi,Università degli Studi di Milano,https://www.unimi.it/,https://www.unimi.it/it/ateneo/lavora-con-noi/reclutamento-professori-e-ricercatori,false,not_blocking,none
it-unito,Università degli Studi di Torino,https://www.unito.it/,https://www.unito.it/ateneo/lavora-con-noi,false,not_blocking,none
it-unirc,Università degli Studi Mediterranea di Reggio Calabria,https://www.unirc.it/,,true,non_blocking,recruitment/concorsi URL missing or uncertain
it-unibocconi,Università Commerciale Luigi Bocconi,https://www.unibocconi.it/,https://www.unibocconi.it/it/docenti-e-ricerca/docenti/reclutamento-docenti/concorsi,false,not_blocking,none
it-luiss,LUISS Guido Carli,https://www.luiss.it/,,true,non_blocking,recruitment/concorsi URL missing or uncertain
it-unifi,Università degli Studi di Firenze,https://www.unifi.it/,https://www.unifi.it/it/ateneo/lavora-con-noi.html,false,not_blocking,none
it-unisi,Università degli Studi di Siena,https://www.unisi.it/,https://www.unisi.it/ateneo/concorsi,false,not_blocking,none
it-uniroma1,Sapienza Università di Roma,https://www.uniroma1.it/,https://www.uniroma1.it/it/pagina/concorsi,false,not_blocking,none
it-uniroma2,Università degli Studi di Roma Tor Vergata,https://web.uniroma2.it/,https://web.uniroma2.it/it/contenuto/concorsi,false,not_blocking,none
it-uniroma3,Università degli Studi Roma Tre,https://www.uniroma3.it/,https://www.uniroma3.it/ateneo/lavora-con-noi/,false,not_blocking,none
it-unige,Università degli Studi di Genova,https://unige.it/,https://unige.it/lavora-con-noi,false,not_blocking,none
it-unica,Università degli Studi di Cagliari,https://www.unica.it/,https://www.unica.it/it/ateneo/bandi-e-concorsi,false,not_blocking,none
